カテゴリ,サービス,詳細,数量,単価 (USD),月額 (USD),月額 (JPY),構成比
ネットワーク,Site-to-Site VPN,接続時間料金,4時間/月,0.05,0.20,30,0.4%
ネットワーク,VPN Data Transfer,アウトバウンド,20GB/月,0.05,1.00,150,2.1%
データ転送,AWS DataSync,増分データ転送,20GB/月,0.25,5.00,750,10.6%
コンピューティング,Lambda TextExtractor,2048MB × 5秒 × 5000回,50000 GB-秒,0.0000166667,0.83,125,1.8%
コンピューティング,Lambda ImageFeatureExtractor,2048MB × 3秒 × 2000回,12000 GB-秒,0.0000166667,0.20,30,0.4%
コンピューティング,Lambda BulkIndexer,1024MB × 600秒 × 1回,600 GB-秒,0.0000166667,0.01,2,0.0%
コンピューティング,Lambda VPNManager,512MB × 5秒 × 2回,5 GB-秒,0.0000166667,0.00,0,0.0%
コンピューティング,Lambda FileScanner,1024MB × 600秒 × 1回,600 GB-秒,0.0000166667,0.01,2,0.0%
コンピューティング,Lambda SearchAPI,512MB × 0.1秒 × 10000回,500 GB-秒,0.0000166667,0.01,2,0.0%
コンピューティング,Lambda リクエスト,17003回/月,17003リクエスト,0.0000002,0.00,0,0.0%
検索エンジン,OpenSearch Instance,t3.small.search,730時間,0.034,24.82,3723,52.5%
検索エンジン,OpenSearch Storage,EBS gp3,50GB,0.135,6.75,1013,14.3%
データベース,DynamoDB Storage,標準ストレージ,5GB,0.25,1.25,188,2.6%
データベース,DynamoDB Read,オンデマンド RCU,10000リクエスト,0.00000025,0.00,0,0.0%
データベース,DynamoDB Write,オンデマンド WCU,10000リクエスト,0.00000125,0.01,2,0.0%
ストレージ,S3 Intelligent-Tiering,Frequent Access,60GB,0.023,1.38,207,2.9%
ストレージ,S3 Intelligent-Tiering,Infrequent Access,40GB,0.0125,0.50,75,1.1%
ストレージ,S3 PUT Requests,書き込み,50000回,0.000005,0.25,38,0.5%
ストレージ,S3 GET Requests,読み取り,50000回,0.0000004,0.02,3,0.0%
その他,Step Functions,State Transitions,20ステップ,0.000025,0.00,0,0.0%
その他,CloudWatch Logs,ログストレージ,2GB,0.50,1.00,150,2.1%
その他,CloudWatch Metrics,カスタムメトリクス,10メトリクス,0.30,3.00,450,6.4%
その他,SNS,通知メッセージ,10メッセージ,0.0000005,0.00,0,0.0%
その他,EventBridge,スケジュールルール,1ルール,1.00,1.00,150,2.1%
合計,,,,,47.24,7086,100.0%
